rank	nome	frequencia	percent
990	felisberto	15214	0.0075
991	cristiane	15205	0.0075
992	emanuele	15198	0.0075
992	barata	15198	0.0075
994	dasilva	15180	0.0075
995	quevedo	15178	0.0075
996	doria	15146	0.0075
997	amparo	15135	0.0075
998	marcon	15133	0.0075
999	yanomami	15098	0.0074
1000	mariana	15093	0.0074
1001	leoncio	15088	0.0074
1002	nolasco	15060	0.0074
1003	portilho	15054	0.0074
1004	louzada	15018	0.0074
1005	mayer	14990	0.0074
1006	milani	14964	0.0074
1007	ds	14961	0.0074
1008	siuza	14958	0.0074
1009	filgueira	14934	0.0074
1010	gualberto	14925	0.0073
1011	henrrique	14884	0.0073
1012	abrel	14880	0.0073
1013	serafin	14831	0.0073
1014	wanderley	14781	0.0073
1015	sant	14732	0.0073
1016	dionizio	14700	0.0072
1017	calazans	14580	0.0072
1018	bicalho	14578	0.0072
1019	garrido	14570	0.0072
1020	barreira	14560	0.0072
