nome	frequencia	frequencia_normalizada
josiane	136856.0	0.0007635013037503319
livia	136409.0	0.0007610075505880563
maicon	135127.0	0.0007538554442031852
reinaldo	134336.0	0.0007494425610905228
pablo	133420.0	0.000744332319711005
artur	132947.0	0.0007416935160292232
vagner	132598.0	0.0007397464917481624
ivone	132064.0	0.0007367673772321553
cintia	131925.0	0.0007359919148394118
valter	131448.0	0.0007333307956930908
lais	131361.0	0.0007328454343393593
ivan	131234.0	0.000732136918340234
celso	131186.0	0.0007318691327657614
taina	130242.0	0.0007266026831344679
cleiton	129473.0	0.0007223125350767722
benedita	128850.0	0.0007188369014747638
sebastiana	128769.0	0.0007183850133178414
joice	128046.0	0.0007143514931023485
vanderlei	127559.0	0.000711634585294679
arthur	126774.0	0.0007072551753788258
mirian	126703.0	0.0007068590758832518
vicente	126329.0	0.0007047725799488199
milton	125935.0	0.000702574506691691
domingos	125581.0	0.0007005995880799558
sandro	125411.0	0.0006996511808370322
wagner	125368.0	0.0006994112895932339
moises	125244.0	0.0006987195101925131
gabriele	124741.0	0.0006959133405266861
edilson	124272.0	0.0006932968523094439
elizabete	123879.0	0.0006911043579184499
ademir	123618.0	0.0006896482738572553
angelica	123609.0	0.0006895980640620417
adao	122274.0	0.0006821502777720238
brenda	121235.0	0.00067635383585792
evandro	121093.0	0.000675561636866772
veronica	119827.0	0.0006684987923400584
cesar	118934.0	0.0006635168648816418
karina	117865.0	0.0006575530569834926
rosilene	117775.0	0.0006570509590313567
nair	116661.0	0.0006508361021571394
valmir	116623.0	0.0006506241052440154
murilo	115785.0	0.0006459490154230153
juliano	115736.0	0.0006456756509824079
neusa	115072.0	0.0006419712838688709
margarida	115031.0	0.0006417425503573423
neuza	114803.0	0.0006404705688785976
edvaldo	114631.0	0.0006395110039034043
neide	113728.0	0.0006344732877836393
ailton	113702.0	0.0006343282372641334
raissa	113621.0	0.000633876349107211
junior	112652.0	0.0006284704278225463
maiara	112598.0	0.0006281691690512647
breno	112597.0	0.0006281635901851298
nicolas	112589.0	0.0006281189592560511
franciele	112465.0	0.0006274271798553303
lorena	112310.0	0.0006265624556044293
samara	110498.0	0.0006164535501680904
ruan	109537.0	0.0006110922598125044
lilian	109075.0	0.0006085148236582061
janete	108731.0	0.0006065956937078195
cicera	108658.0	0.0006061884364799758
alberto	108359.0	0.0006045203555056571
giovana	107324.0	0.0005987462290560927
severina	106391.0	0.0005935411469522824
cleide	106373.0	0.0005934407273618552
lara	106106.0	0.0005919511701038516
nicole	105793.0	0.0005902049850036452
rubens	105702.0	0.0005896973081853743
augusto	105177.0	0.0005867684034645807
nilton	105128.0	0.0005864950390239733
cecilia	104497.0	0.0005829747744928863
yasmin	104242.0	0.0005815521636285008
conceicao	104122.0	0.0005808826996923194
cleber	103401.0	0.0005768603372090963
osmar	103032.0	0.0005748017356053385
ingrid	102959.0	0.0005743944783774948
selma	102364.0	0.000571075053027262
leila	102166.0	0.0005699704375325627
raiane	101990.0	0.0005689885570928301
nilson	101796.0	0.0005679062570626702
orlando	101455.0	0.0005660038637106881
hugo	101231.0	0.0005647541976964829
otavio	100541.0	0.0005609047800634398
ester	100378.0	0.0005599954248834601
vinicios	97990.0	0.0005466730925534506
italo	96817.0	0.0005401290825772775
regiane	96816.0	0.0005401235037111427
marisa	96220.0	0.0005367984994947751
